一一	fhfh
一一对应	ffwg
一丁点	fudi
一丁点儿	fuda
一万	fhfk
一丈	fhfo
一下	fhfd
一下子	ffyd
一不小心	fcon
一不留神	fcfd
一专多能	frxn
一世之雄	fxdg
一丘之貉	fodl
一丝一毫	frfw
一丝不挂	frcp
一丝不苟	frcw
一丝丝	frrr
一个	fhsk
一个个	fssk
一个人	fssi
一个劲儿	fswa
一个巴掌拍不响	fsei
一个萝卜一个坑	fswb
一个问题	fsbj
一个鼻孔出气	fscf
一举	fhhv
一举一动	fhfp
一举两得	fhaj
一举多得	fhxj
一举成名	fhux
一了百了	ffff
一争高下	frwf
一事	fhfi
一事无成	ffuu
一二	fhrl
一五一十	fjfg
一些	fhlh
一些人	flsi
一些问题	flbj
一亩	fhus
一亲芳泽	fywh
一人之下	fsdf
一人得道	fsjv
一亿	fhkj
一代代	fkkn
一代天骄	fkfx
一代宗师	fkek
一以贯之	fhsd
一件事	fkfi
一件事情	fkfn
一会儿	fsah
一例	fhkq
一元	fhra
一共	fhxv
一共有	fxgm
一再	fhgz
一决雌雄	fllg
一出	fhiz
一刀	fhkg
一刀两断	fkam
一刀切	fklk
一分一秒	fvfz
一分为二	fvor
一分收获	fvhw
一分钟	fvci
一切	fhlk
一切皆有可能	flhn
一刹那	fopp
一刹那间	fopb
一前一后	fvfo
一力	fhau
一动	fhpa
一动不动	fpcp
一劳永逸	fwoz
一勺	fhso
一十	fhgl
一千	fhhc
一半	fhvp
一卷	fhvs
一厢情愿	fono
一去不回	fbcu
一去不复返	fbco
一反常态	foxx
一发不可收拾	ficp
一口咬定	fiie
一口气	fifq
一古脑儿	fqma
一句话	ftvv
一叶扁舟	fifl
一叶知秋	fiez
一叶障目	fitg
一同	fhzf
一吐为快	fion
一向	fhcz
一呼百应	fifg
一命呜呼	ftii
一哄而上	fiud
一哄而散	fiux
一哄而起	fiuq
一唱一和	fifz
一回事	fufi
一团乱麻	fuvo
一团和气	fuzf
一团漆黑	fuhu
一团糟	fumf
一国两制	fual
一场空	fbzn
一块儿	fbah
一塌糊涂	fbmh
一声不吭	fmci
一声不响	fmci
一声令下	fmtf
一夜之间	fudb
一夜情	funz
一大半	fxvp
一大堆	fxbv
一大早	fxjg
一大片	fxnb
一天到晚	ffcj
一夫当关	fsov
一失足成千古恨	fcun
一头雾水	flth
一如既往	fstj
一孔之见	fydu
一字一句	feft
一字不差	feci
一字不漏	fech
一字千金	feht
一字长蛇阵	fext
一官半职	fevq
一定	fhek
一定会	fesp
一定是	fejk
一定有	fegm
一定程度	fezg
一定能	fenm
一定要	feqs
一家三口	feqi
一家之主	fedo
一家之言	fedm
一家人	fesi
一家老小	fero
一寸光阴一寸金	flst
一将难求	fnwf
一小撮	fopj
一尘不染	foch
一尺	fhmo
一展身手	fmlp
一差二错	firc
一己	fhjc
一己之力	fjda
一己之私	fjdz
一帆风顺	fupj
一带一路	fffu
一席之地	fgdb
一席话	fgvv
一幕幕	fwwj
一干二净	flrl
一年一度	flfg
一年之计在于春	fldz
一年到头	flcl
一年半载	flvg
一年四季	flyz
一年级	flrk
一应俱全	fgks
一开始	ffsn
一式两份	fnak
一张一弛	fofo
一往情深	fjnh
一往无前	fjuv
一往而深	fjuh
一律	fhju
一心一意	fnfa
一心二用	fnrq
一忍再忍	fkgk
一念之差	ftdi
一念之间	ftdb
一怒之下	fsdf
一怔	fhnf
一息尚存	fcxg
一惊一乍	fnfe
一意孤行	fayf
一愣	fhny
一成不变	fucu
一战	fhdi
一所	fhfo
一扇	fhfe
一手包办	fpsa
一手遮天	fpgf
一打	fhpu
一扫而光	fpus
一扫而空	fpuz
一技之长	fpdx
一把好手	fpsp
一把手	fppc
一拍两散	fpax
一拍即合	fptt
一拥而上	fpud
一拳	fhvs
一挥而就	fpuw
一掷千金	fpht
一整天	fufx
一文不值	fwck
一文不名	fwcx
一斑	fhgw
一斤	fhoz
一方有难	fmgw
一方面	fmhf
一旁	fhye
一无可取	fuzq
一无所得	fufj
一无所成	fufu
一无所有	fufg
一无所知	fufe
一无所获	fufw
一无是处	fujj
一日	fhje
一日三秋	fjqz
一日三餐	fjqq
一日不见	fjcu
一日为师	fjok
一日之计在于晨	fjdj
一旦	fhjf
一早	fhjg
一时	fhjl
一时三刻	fjqy
一时半会	fjvs
一时半会儿	fjva
一时半刻	fjvy
一时糊涂	fjmh
一星半点	fjvd
一曝十寒	fjge
一有机会	fgas
一望无垠	fxub
一望无际	fxut
一朝一夕	fgfx
一朝天子一朝臣	fgfd
一本万利	fafz
一本正经	fafr
一条龙	fjjh
一来二去	fjrb
一板一眼	fafg
一枕黄粱	fabh
一枝独秀	falz
一柄	fhaf
一柱擎天	fawf
一样	fhai
一根汗毛	faho
一根筋	fazm
一棍子打死	fayq
一概而论	fauv
一模一样	fafa
一次	fhlf
一次又一次	flwl
一次性	flnd
一次次	fllf
一步一步	flfl
一步之遥	fldt
一步到位	flck
一步步	flll
一步登天	flvf
一毛	fhou
一毛不拔	focp
一气之下	ffdf
一气呵成	ffiu
一氧化碳	ffkq
一水之隔	fhdt
一波三折	fhqp
一波又起	fhwq
一波未平	fhjl
一泻千里	fhhd
一派胡言	fhqm
一流	fhhp
一清二楚	fhra
一清二白	fhrd
一溜烟	fhyu
一滴滴	fhhy
一炮	fhys
一炮打响	fypi
一炮而红	fyur
一点	fhdi
一点一滴	fdfh
一点也不	fdhc
一点儿	fdah
一点点	fddi
一片冰心	fnln
一片汪洋	fnhh
一片焦土	fnvb
一片片	fnnb
一片狼藉	fnlw
一物降一物	fltl
一生	fhdh
一生一世	fdfx
一男一女	fsfs
一男半女	fsvs
一病不起	fxcq
一瘸一拐	fxfp
一百	fhfd
一盆	fhvk
一盘散沙	flxh
一盘棋	flam
一目了然	fgfm
一目十行	fggf
一直	fhgg
一直以来	fghj
一直到	fgck
一直没有	fghg
一相情愿	fano
一看	fhpg
一着不慎	ficn
一瞬间	fgbj
一知半解	fevr
一石二鸟	fqrw
一石激起千层浪	fqhh
一碗水端平	fqhl
一碧万顷	fgfh
一秒钟	fzci
一穷二白	fzrd
一窍不通	fzcn
一窝蜂	fzjj
一站式	fynn
一笑一颦	fzfl
一笑了之	fzfd
一笑置之	fzyd
一笔勾销	fzsc
一笔带过	fzfl
一笔抹杀	fzpo
一等	fhzb
一等品	fzir
一等奖	fznx
一筹	fhzz
一筹莫展	fzwm
一简	fhzb
一箭之仇	fzdk
一箭双雕	fzwz
一系列	fcqk
一线希望	frox
一线生机	frda
一统	fhrp
一统天下	frff
一网打尽	fzpm
一而再	fugz
一肚子	fmyd
一股脑儿	fmma
一脉相传	fmak
一脉相承	fmap
一脚踢开	fmuf
一腔	fhmz
一腔热血	fmpc
一臂之力	frda
一致	fhcr
一致同意	fcza
一致性	fcnd
一般	fhlq
一般人	flsi
一般性	flnd
一般情况	flnl
一般来说	fljv
一般的	flds
一般见识	fluv
一花独放	fwlm
一草一木	fwfa
一落千丈	fwhf
一衣带水	fofh
一表人才	fzsg
一见	fhuw
一见倾心	fukn
一见如故	fusq
一见钟情	fucn
一视同仁	fdzk
一览无余	fkus
一览无遗	fkuj
一觉	fhhe
一触即发	frti
一触即溃	frth
一言一行	fmff
一言不发	fmci
一言不合	fmct
一言为定	fmoe
一言九鼎	fmdg
一言以蔽之	fmhd
一言半语	fmvv
一言堂	fmxb
一言既出	fmti
一言蔽之	fmwd
一言难尽	fmwm
一试身手	fvlp
一语中的	fvid
一语双关	fvwv
一语成谶	fvuv
一语道破	fvvq
一诺千金	fvht
一败涂地	fdhb
一贫如洗	fvsh
一走了之	fqfd
一起	fhqj
一路上	fudf
一路平安	fule
一路货色	fukr
一路走来	fuqj
一路顺风	fujp
一路领先	futl
一路风尘	fupo
一蹴而就	fuuw
一蹶不振	fucp
一身冷汗	fllh
一身是胆	fljm
一身正气	flff
一转眼	fygt
一转身	fylc
一辈子	fdyd
一边	fhal
一连	fhyl
一连串	fynk
一连几天	fypf
一通	fhnq
一部分	fyvk
一醉方休	ftmk
一针一线	fcfr
一针见血	fcuc
一钱不值	fcck
一锤子买卖	fcyg
一锤定音	fcea
一门心思	fbns
一闪	fhbs
一闪而过	fbul
一问一答	fbfz
一问三不知	fbqe
一阵子	ftyd
一阵阵	ftty
一隅之地	ftdb
一霎	fhty
一面之交	fhdc
一面之缘	fhdr
一面之词	fhdv
一颗颗	fssa
一颦一笑	flfz
一飞冲天	filf
一餐	fhqw
一饮而尽	ffum
一饱眼福	ffgd
一首	fhvc
一马平川	fxlj
一马当先	fxol
一鳞半爪	fevt
一鸣惊人	fins
一鼓作气	fhkf
一鼻子灰	fcyg
丁丁	ueue
丁丑	uepb
丁克	ueqa
丁冬	uejl
丁卯	uefm
丁坝	uebd
丁宁	ueeu
丁当	ueos
丁烯	ueyo
丁玲	uegt
丁零	uett
丁香	uezj
七一	lnfh
七七	lnln
七七事变	llfu
七七八八	llvv
七万	lnfk
七上八下	ldvf
七亿	lnkj
七位	lnky
七十	lngl
七十二变	lgru
七十年代	lglk
七千	lnhc
七古	lnqm
七喜	lnhi
七嘴八舌	livv
七夕	lnxu
七巧板	lnao
七弦琴	logg
七彩	lnta
七情六欲	lncp
七手八脚	lpvm
七扭八歪	lpvc
七拼八凑	lpvl
七擒七纵	lplr
七歪八扭	lcvp
七百	lnfd
七窍	lnzn
七窍流血	lzhc
七窍生烟	lzdy
七老八十	lrvg
七言绝句	lmrt
七零八碎	ltvq
七零八落	ltvw
七颠八倒	lgvk
万一	fkfh
万万不可	ffcz
万万没有想到	ffhc
万丈	fkfo
万丈深渊	ffhh
万丈高楼平地起	ffwq
万不得已	fcjn
万乘之国	fzdu
万事万物	fffl
万事俱备	ffkj
万事大吉	ffxm
万事如意	ffsa
万事通	ffnq
万人之上	fsdd
万人空巷	fszx
万人迷	fsml
万众一心	fsfn
万众瞩目	fsgg
万全	fksg
万分	fkvk
万劫不复	fbcl
万历	fkoa
万变不离其宗	fuce
万古流芳	fqhw
万古长青	fqxz
万夫莫开	fswf
万头攒动	flpp
万家灯火	feyy
万寿无疆	fzuo
万山	fkds
万岁	fkdx
万年历	floa
万年青	flzm
万幸	fkbi
万念俱灰	ftkg
万恶	fkfo
万无一失	fufc
万有引力	fgoa
万死不辞	fqcv
万水千山	fhhd
万物之灵	flds
万用表	fqzo
万种	fkzi
万端	fkyd
万箭穿心	fzzn
万籁俱寂	fzke
万籁无声	fzum
万紫千红	flhr
万维网	frzo
万缕千丝	frhr
万能	fknm
万能胶	fnmc
万般	fklq
万般无奈	flux
万花筒	fwzz
万象	fkwp
万象更新	fwty
万贯家财	fsed
万里无云	fdup
万里长城	fdxb
万里长征	fdxj
万金油	fthi
万马奔腾	fxxm
万马齐喑	fxai
丈二和尚摸不着头脑	frzm
丈夫	fosv
丈母	foqt
丈母娘	fqso
丈量	fojf
三万	qnfk
三三两两	qqaa
三下两下	qfaf
三个代表	qskz
三个臭皮匠	qsce
三五成群	qjus
三亚	qnfo
三人成虎	qsuq
三亿	qnkj
三从四德	qsyj
三令五申	qtjj
三件	qnkl
三伏	qnkl
三位一体	qkfk
三倍	qnky
三八	qnvy
三八妇女节	qvsw
三八红旗手	qvrp
三八线	qvrf
三八节	qvww
三六九等	qcdz
三分之一	qvdf
三副	qnfi
三十	qngl
三十六计	qgcv
三十而立	qguy
三千	qnhc
三叉神经	qwdr
三友	qngw
三号	qnif
三围	qnuq
三国	qnug
三国演义	quho
三天两头	qfal
三头六臂	qlcr
三好学生	qshd
三妻四妾	qfyy
三姑六婆	qsch
三字经	qerw
三室两厅	qeao
三宫六院	qect
三寸不烂之舌	qlcv
三寸之舌	qldv
三寸金莲	qltw
三局两胜	qmam
三岁小孩	qdoy
三年五载	qljg
三年级	qlrk
三心两意	qnaa
三心二意	qnra
三思	qnsn
三思后行	qsof
三思而后行	qsuf
三招	qnpk
三拳两脚	qvam
三教九流	qrdh
三明治	qjhn
三星	qnjd
三昧	qnjj
三昧真火	qjgy
三更半夜	qtvu
三朝元老	qgrr
三权分立	qavy
三极管	qaze
三民主义	qnoo
三流	qnhp
三点一线	qdfr
三点式	qdnn
三生三世	qdqx
三生有幸	qdgb
三甲	qnst
三番五次	qcjl
三百	qnfd
三百六十行	qfcf
三皇五帝	qdjy
三等功	qzna
三等奖	qznx
三简	qnzb
三级跳远	qrur
三纲五常	qrjx
三维动画	qrpf
三缄其口	qrmi
三聚氰胺	qqfm
三脚两步	qmal
三脚架	qmai
三脚猫	qmlw
三菱	qnwb
三角	qnrq
三角函数	qrpm
三角形	qrfw
三角板	qrao
三角洲	qrhj
三言两语	qmav
三贞九烈	qddq
三资企业	qlso
三足鼎立	qugy
三轮车	qyyf
三连冠	qyer
三道	qnvc
三长两短	qxae
三门峡	qbds
三阳	qntj
三院	qnte
三险	qntt
三陪	qnty
三顾茅庐	qowg
三魂七魄	qpld
上一个	dfsk
上一次	dflf
上万	dffk
上上下下	ddff
上下	dffd
上下一心	dffn
上下其手	dfmp
上下左右	dfgg
上下文	dfwm
上下班	dfgk
上下结合	dfrt
上世	dfxp
上个	dfsk
上个月	dsmd
上乘	dfzn
上书	dfpp
上交	dfco
上人	dfsi
上代	dfkn
上任	dfkc
上传	dfkr
上位	dfky
上体	dfka
上佳	dfkb
上元	dfra
上册	dfjz
上冻	dfll
上分	dfvk
上刑	dffw
上列	dfqk
上前	dfvm
上劲	dfwn
上千	dfhc
上升	dfcw
上午	dflg
上半	dfvp
上卷	dfvs
上厕所	dofo
上去	dfbn
上口	dfiq
上古	dfqm
上台	dfni
上司	dfpf
上吊	dfiu
上吐下泻	difh
上告	dfli
上周	dfzb
上呼吸道	diiv
上品	dfir
上唇	dfqi
上善若水	diwh
上图	dfuj
上场	dfbp
上坟	dfbw
上坡	dfbe
上坡路	dbuq
上士	dfmf
上声	dfmm
上天	dffx
上天入地	dfxb
上天无路	dfuu
上头	dflx
上好	dfsy
上学	dfhe
上完	dfer
上官	dfeu
上家	dfek
上宾	dfeo
上将	dfnx
上尉	dfmd
上层	dfmp
上层建筑	dmuz
上届	dfmi
上屋抽梯	dmpa
上屏	dfmv
上山	dfds
上山下乡	ddff
上岁数	ddms
上岗	dfdz
上岸	dfdo
上峰	dfdj
上工	dfnv
上市	dfuu
上市公司	duvp
上帝	dfye
上年	dflg
上年纪	dlrj
上床	dfga
上座	dfgs
上式	dfnn
上弦	dfou
上当	dfos
上当受骗	dotx
上得厅堂	djox
上心	dfng
上房	dffm
上手	dfpc
上扬	dfpp
上报	dfpw
上操	dfpi
上攻	dfnr
上文	dfwm
上方	dfmx
上旬	dfsj
上映	dfjz
上智下愚	defs
上月	dfmd
上朝	dfgj
上期	dfmv
上机	dfap
上来	dfjv
上架	dfai
上树	dfaw
上校	dfac
上桌	dfdj
上档	dfao
上梁不正下梁歪	dhcc
上楼	dfam
上榜	dfay
上次	dflf
上款	dfmd
上气不接下气	dfcf
上水	dfhg
上汽	dfhf
上流	dfhp
上浮	dfht
上海	dfhl
上海交大	dhcx
上海人	dhsi
上涌	dfhn
上涨	dfho
上游	dfhm
上溯	dfhv
上演	dfhe
上焦	dfvy
上牌	dfnd
上班	dfgk
上班族	dgml
上界	dfss
上瘾	dfxt
上百	dffd
上皮组织	derr
上相	dfag
上知天文	defw
上移	dfzx
上税	dfzv
上空	dfzn
上窜下跳	dzfu
上站	dfyd
上等	dfzb
上策	dfza
上签	dfzt
上算	dfzg
上篇	dfzf
上篮	dfzk
上紧	dfkw
上级	dfrk
上纲上线	drdr
上线	dfrf
上缴	dfrd
上网	dfzo
上网卡	dzdf
上联	dfqv
上肢	dfmb
上脸	dfmt
上腹	dfml
上膘	dfmq
上膛	dfmx
上至	dfcy
上船	dflp
上色	dfre
上苍	dfws
上药	dfwr
上菜	dfwt
上行	dffj
上行下效	dffc
上街	dffb
上衣	dfor
上装	dfnm
上议院	dvte
上访	dfvm
上证指数	dvpm
上诉	dfvo
上课	dfvs
上调	dfvz
上货	dfkh
上路	dfuq
上蹿下跳	dufu
上身	dflc
上车	dfyf
上轨	dfyd
上载	dfgi
上辈	dfdy
上边	dfal
上达	dfxl
上过	dfll
上进	dfbl
上进心	dbng
上述	dfao
上道	dfvc
上部	dfyi
上钩	dfcs
上铺	dfcg
上锁	dfco
上镜	dfca
上门	dfbo
上门服务	dbmj
上阵	dfty
上限	dftt
上院	dfte
上面	dfhf
上颌	dfti
上风	dfpo
上饶	dffi
上马	dfxh
下一个	ffsk
下一次	fflf
下一步	ffll
下三滥	fqhk
下不为例	fcok
下不来	fcjv
下不来台	fcjn
下世	fdxp
下个	fdsk
下个世纪	fsxr
下个星期	fsjm
下个月	fsmd
下乘	fdzn
下九流	fdhp
下乡	fdff
下井	fdbz
下人	fdsi
下令	fdtn
下任	fdkc
下体	fdka
下作	fdke
下册	fdjz
下凡	fdpo
下刀	fdkg
下划线	firf
下列	fdqk
下功夫	fnsv
下午	fdlg
下半	fdvp
下单	fdvs
下卷	fdvs
下厨	fdoe
下去	fdbn
下发	fdiw
下台	fdni
下同	fdzf
下周	fdzb
下品	fdir
下唇	fdqi
下回	fdui
下回分解	fuvr
下图	fduj
下地	fdbh
下场	fdbp
下坠	fdts
下坡	fdbe
下坡路	fbuq
下垂	fdhw
下士	fdmf
下处	fdjd
下头	fdlx
下奶	fdsv
下嫁	fdse
下存	fdgk
下定	fdek
下定决心	feln
下家	fdek
下层	fdmp
下届	fdmi
下属	fdmc
下山	fdds
下岗	fddz
下岗工人	fdns
下岗职工	fdqn
下巴	fdew
下市	fduu
下床	fdga
下弦	fdou
下情上达	fndx
下意识	favi
下房	fdfm
下手	fdpc
下拉	fdpy
下挫	fdps
下摆	fdpy
下操	fdpi
下放	fdmr
下文	fdwm
下方	fdmx
下旬	fdsj
下星期	fjmv
下月	fdmd
下期	fdmv
下机	fdap
下来	fdjv
下标	fdad
下档	fdao
下棋	fdam
下楼	fdam
下榻	fdaj
下次	fdlf
下毒	fdzq
下水	fdhg
下水道	fhvc
下沉	fdhe
下注	fdho
下流	fdhp
下浮	fdht
下海	fdhl
下游	fdhm
下滑	fdhf
下潜	fdhs
下狱	fdlv
下班	fdgk
下界	fdss
下疳	fdxm
下盘	fdlb
下知地理	febg
下神	fddj
下种	fdzi
下移	fdzx
下端	fdyd
下笔	fdzo
下笔如有神	fzsd
下第	fdzu
下等	fdzb
下策	fdza
下箸	fdzr
下篇	fdzf
下级	fdrk
下线	fdrf
下网	fdzo
下联	fdqv
下肢	fdmb
下脚	fdmb
下脚料	fmmp
下自成蹊	fcuu
下至	fdcy
下船	fdlp
下药	fdwr
下落	fdwh
下落不明	fwcj
下葬	fdwq
下蛋	fdkj
下行	fdfj
下表	fdzo
下装	fdnm
下议院	fvte
下设	fdvq
下诏	fdvk
下课	fdvs
下调	fdvz
下账	fddx
下贱	fddf
下跌	fduc
下跪	fdur
下身	fdlc
下车	fdyf
下载	fdgi
下辈	fddy
下辈子	fdyd
