⺀,Lv,部首補充,U+2E80	⺀
⺁,Oy,部首補充,U+2E81	⺁
乛,Pv,部首補充,U+2E82	⺂
⺃,Pv,部首補充,U+2E83	⺃
⺄,Pv,部首補充,U+2E84	⺄
亻,Kj,部首補充,U+2E85	⺅
⺆,Zv,部首補充,U+2E86	⺆
⺇,Ps,部首補充,U+2E87	⺇
⺈,Rl,部首補充,U+2E88	⺈
刂,Kg,部首補充,U+2E89	⺉
⺊,Dh,部首補充,U+2E8A	⺊
㔾,Wj,部首補充,U+2E8B	⺋
⺌,Ot,部首補充,U+2E8C	⺌
⺍,Hg,部首補充,U+2E8D	⺍
一儿,FhAh,部首補充,U+2E8E	⺎
八儿,VyAh,部首補充,U+2E8F	⺏
尢,Gh,部首補充,U+2E90	⺐
八几,VyPs,部首補充,U+2E91	⺑
巳,Du,部首補充,U+2E92	⺒
幺,Bl,部首補充,U+2E93	⺓
彑,Si,部首補充,U+2E94	⺔
彐,Si,部首補充,U+2E95	⺕
忄,Ng,部首補充,U+2E96	⺖
⺗,Ng,部首補充,U+2E97	⺗
扌,Pc,部首補充,U+2E98	⺘
攵,Ry,部首補充,U+2E99	⺙
旡,Ue,部首補充,U+2E9B	⺛
⺜,Je,部首補充,U+2E9C	⺜
⺝,Md,部首補充,U+2E9D	⺝
歺,Qm,部首補充,U+2E9E	⺞
母,Qt,部首補充,U+2E9F	⺟
民,Ns,部首補充,U+2EA0	⺠
氵,Hg,部首補充,U+2EA1	⺡
氺,Hg,部首補充,U+2EA2	⺢
灬,Yv,部首補充,U+2EA3	⺣
爫,To,部首補充,U+2EA4	⺤
⺥,To,部首補充,U+2EA5	⺥
丬,Nb,部首補充,U+2EA6	⺦
⺧,Lz,CJK-B,U+2EA7	⺧
⺧,Lz,部首補充,U+2EA7	⺧
犭,Le,部首補充,U+2EA8	⺨
王,Gi,部首補充,U+2EA9	⺩
⺪,Kf,部首補充,U+2EAA	⺪
罒,Yt,部首補充,U+2EAB	⺫
⺬,Dd,部首補充,U+2EAC	⺬
礻,Dd,部首補充,U+2EAD	⺭
⺮,Zi,部首補充,U+2EAE	⺮
糹,Ht,部首補充,U+2EAF	⺯
纟,Ri,部首補充,U+2EB0	⺰
冂乂,ZvOs,部首補充,U+2EB1	⺱
罒,Yt,部首補充,U+2EB2	⺲
冖八,ErVy,部首補充,U+2EB3	⺳
冖儿,ErAh,部首補充,U+2EB4	⺴
冂〢,ZvKg,部首補充,U+2EB5	⺵
⺶,Id,部首補充,U+2EB6	⺶
⺷,Id,部首補充,U+2EB7	⺷
⺸,Id,部首補充,U+2EB8	⺸
耂,Ri,部首補充,U+2EB9	⺹
肀,Ua,部首補充,U+2EBA	⺺
⺻,Ua,部首補充,U+2EBB	⺻
⺼,Md,部首補充,U+2EBC	⺼
⺽,Wi,部首補充,U+2EBD	⺽
艹,Wh,部首補充,U+2EBE	⺾
艹,Wh,部首補充,U+2EBF	⺿
卝,Wh,部首補充,U+2EC0	⻀
虎,Qb,部首補充,U+2EC1	⻁
衤,Or,部首補充,U+2EC2	⻂
覀,Qp,部首補充,U+2EC3	⻃
西,Qp,部首補充,U+2EC4	⻄
见,Uw,部首補充,U+2EC5	⻅
⺈用,RlQl,部首補充,U+2EC6	⻆
⺈冂人人,RlZvSiSi,部首補充,U+2EC7	⻇
讠,Vx,部首補充,U+2EC8	⻈
贝,Dj,部首補充,U+2EC9	⻉
⻊,Uz,部首補充,U+2ECA	⻊
车,Yf,部首補充,U+2ECB	⻋
辶,Lt,部首補充,U+2ECC	⻌
